t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=e6284f847113 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=d1d19a1bc62e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=822e0f001b12 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=ddc25c6e613d l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=8fa6298c95a2 l=[::1]:3050 r=99.131.53.219:52467
t=2025-11-28T17:48:36-0500 lvl=info msg="join connections" obj=join id=5b35954d69e7 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:07-0500 lvl=info msg="join connections" obj=join id=a38148351743 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=ebb1f81473f6 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=de29d89a69d5 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=106e1b098c77 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=f13497368e54 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=cb950b1f6689 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=834bd4cb258b l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=3289731b265e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=e73e777edcd7 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=b00ca4cebcb3 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=0017dbdda1c0 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=e689c7fb4ccf l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=5159ab2eb357 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=760831036d42 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=a9b9146799c7 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=b54f320e0bf5 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=19dd648140d9 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=746a815a2e77 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=9809492f065e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=e0ccb9f31f0a l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=cebdfd00a9db l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=c079271e9e8e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=61f47e240d2f l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=f356e93fa980 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:22-0500 lvl=info msg="join connections" obj=join id=62f7b233f568 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:23-0500 lvl=info msg="join connections" obj=join id=69c8491c1c3c l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:49:23-0500 lvl=info msg="join connections" obj=join id=5b08dc49ffe3 l=[::1]:3050 r=99.131.53.219:52406
